FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_CRIME,Tipo di delitto,SEX,Sesso,AGE,Età,CITIZENSHIP,Cittadinanza,TIME_PERIOD,Osservazione,NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_CRIME,Tipo di delitto (NOTE_TYPE_CRIME)
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2017,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2018,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2019,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2020,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2021,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2022,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2023,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2024,1,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2015,4,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2016,10,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2017,7,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2018,7,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2019,9,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2020,5,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2021,11,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2022,4,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2023,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2024,7,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,ITL,Italiano-a,2015,4,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,ITL,Italiano-a,2016,1,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,ITL,Italiano-a,2017,3,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,ITL,Italiano-a,2018,1,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,ITL,Italiano-a,2019,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,ITL,Italiano-a,2020,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,ITL,Italiano-a,2021,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,ITL,Italiano-a,2022,1,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,ITL,Italiano-a,2023,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,ITL,Italiano-a,2024,7,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,FRG,Straniero-a,2015,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,FRG,Straniero-a,2016,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,FRG,Straniero-a,2017,1,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,FRG,Straniero-a,2018,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,FRG,Straniero-a,2019,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,FRG,Straniero-a,2020,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,FRG,Straniero-a,2021,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,FRG,Straniero-a,2022,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,FRG,Straniero-a,2023,3,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,FRG,Straniero-a,2024,1,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y14-17,14-17 anni,TOTAL,Totale,2015,4,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
